Título,Endereço,Metro_m2,N_Quartos,N_Banheiros,N_Garagens,Valor_Mensal
Apartamento com 2 Quartos para Venda/Aluguel 54m²,"Rua Lucindo Silva, 299 - Parque Fazendinha, Campinas - SP",54,"2
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 1.400
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 47m²","Rua Manuel Francisco Monteiro, 668 - Parque Industrial, Campinas - SP",47,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.590
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 138m²","Rua Santo Antônio, 60 - Cambuí, Campinas - SP",138,"3
              

                Quartos","4
              

                Banheiros","3
                

                  Vagas","R$ 3.300
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 76m²","Rua Oscar Leite, 200 - Ponte Preta, Campinas - SP",76,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 3.000
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 73m²","Rua Hermantino Coelho, 1127 - Mansões Santo Antônio, Campinas - SP",73,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 3.200
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 85m²,"Bosque, Campinas - SP",85,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 4.500
                      /Mês"
"Apartamento com  Quarto para Aluguel, 57m²","Rua Barreto Leme, 1998 - Cambuí, Campinas - SP",57,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 3.800
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 92m²","Travessa Jorge Norton, 61 - Bosque, Campinas - SP",92,"3
              

                Quartos","3
              

                Banheiros","1
                

                  Vaga","R$ 1.800
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 135m²","Avenida Maria Emília Alves dos Santos de Ângelis - Parque Prado, Campinas - SP",135,"3
              

                Quartos","5
              

                Banheiros","3
                

                  Vagas","R$ 4.100
                      /Mês"
"Apartamento com  Quarto para Aluguel, 45m²","Vila Itapura, Campinas - SP",45,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.000
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Nazareno Mingoni, 650 - Jardim do Lago, Campinas - SP",60,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 950
                      /Mês"
"Apartamento com  Quarto para Aluguel, 45m²","Rua Barreto Leme, 1920 - Cambuí, Campinas - SP",45,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 2.800
                      /Mês"
Apartamento com 4 Quartos para Venda/Aluguel 157m²,"Rua Hermantino Coelho - Mansões Santo Antônio, Campinas - SP",157,"4
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 5.000
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 129m²,"Rua Boaventura do Amaral, 1222 - Centro, Campinas - SP",129,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 2.600
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 64m²,"Rua Doutor Herculano Gouvea Neto, 460 - Loteamento Parque São Martinho, Campinas - SP",64,"3
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.590
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 77m²","Rua Heitor Ernesto Sartori, 574 - Loteamento Center Santa Genebra, Campinas - SP",77,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.800
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 66m²","Rua Adelino Martins, 500 - Mansões Santo Antônio, Campinas - SP",66,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.750
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 270m²","Cambuí, Campinas - SP",270,"3
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 3.200
                      /Mês"
Apartamento com  Quarto para Venda/Aluguel 49m²,"Rua Major Solon, 535 - Cambuí, Campinas - SP",49,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.700
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 85m²","Rua Doutor Arnaldo de Carvalho, 708 - Jardim Chapadão, Campinas - SP",85,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.300
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 60m²,"Rua Jasmim, 560 - Mansões Santo Antônio, Campinas - SP",60,"2
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.300
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 170m²,"Cambuí, Campinas - SP",170,"3
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 4.000
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 70m²","Avenida Senador Antônio Lacerda Franco, 1221 - Jardim do Lago, Campinas - SP",70,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.300
                      /Mês"
Apartamento com 2 Quartos à Venda/Aluguel 45m²,"Jardim Carlos Lourenço, Campinas - SP",45,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.200
                      /Mês"
"Apartamento com  Quarto para Aluguel, 64m²","Avenida Francisco Glicério - Centro, Campinas - SP",64,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 1.200
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Santos Dumont, 300 - Cambuí, Campinas - SP",100,"3
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 3.000
                      /Mês"
"Apartamento com  Quarto para Aluguel, 63m²","Avenida Anchieta, 636 - Cambuí, Campinas - SP",63,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 990
                      /Mês

Preço abaixo do mercado"
Apartamento com 4 Quartos à Venda/Aluguel 135m²,"Rua Barão de Ataliba - Cambuí, Campinas - SP",135,"4
              

                Quartos","4
              

                Banheiros","3
                

                  Vagas","R$ 4.300
                      /Mês"
Apartamento com 3 Quartos à Venda/Aluguel 96m²,"Rua Barão de Atibaia - Vila Itapura, Campinas - SP",96,"3
              

                Quartos","2
              

                Banheiros","9
                

                  Vagas","R$ 5.000
                      /Mês"
"Apartamento com  Quarto para Aluguel, 50m²","Avenida Francisco Glicério, 2040 - Centro, Campinas - SP",50,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.400
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Oscar Leite, 200 - Ponte Preta, Campinas - SP",60,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 2.350
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 136m²","Rua Francisco Mesquita, 860 - Parque da Hípica, Campinas - SP",136,"3
              

                Quartos","2
              

                Banheiros","4
                

                  Vagas","R$ 4.500
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Bernardo José Sampaio, 119 - Botafogo, Campinas - SP",65,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 2.500
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 197m²,"Cambuí, Campinas - SP",197,"3
              

                Quartos","5
              

                Banheiros","3
                

                  Vagas","R$ 4.500
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 88m²","Rua Comendador Luiz José Pereira de Queiroz, 170 - Botafogo, Campinas - SP",88,"3
              

                Quartos","3
              

                Banheiros","1
                

                  Vaga","R$ 2.200
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Santa Cruz - Cambuí, Campinas - SP",65,"2
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 2.900
                      /Mês"
Apartamento com  Quarto para Venda/Aluguel 50m²,"Botafogo, Campinas - SP",50,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.500
                      /Mês"
